,0,1,2,3,4
Signal Processing,Engineers,Computer Occupations,"Drafters, Engineering Technicians, and Mapping Technicians",Unclassified Occupation,Other Management Occupations
Simulation and Simulation Software,Engineers,Computer Occupations,Unclassified Occupation,Other Management Occupations,Mathematical Science Occupations
Social Media,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Unclassified Occupation,Media and Communication Workers,Other Management Occupations
Social Skills,Computer Occupations,Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,Business Operations Specialists,Unclassified Occupation
Social Studies,Other Management Occupations,Health Technologists and Technicians,"Counselors, Social Workers, and Other Community and Social Service Specialists",Postsecondary Teachers,Unclassified Occupation
Software Development,Computer Occupations,Business Operations Specialists,Other Management Occupations,Unclassified Occupation,Engineers
Software Development Tools,Computer Occupations,Engineers,Unclassified Occupation,Business Operations Specialists,Other Management Occupations
Software Quality Assurance,Computer Occupations,Business Operations Specialists,Engineers,Unclassified Occupation,Other Management Occupations
Solar Energy,Construction Trades Workers,"Sales Representatives, Wholesale and Manufacturing",Engineers,Other Management Occupations,"Other Installation, Maintenance, and Repair Occupations"
Solution Sales Engineering,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Computer Occupations,"Sales Representatives, Services",Other Sales and Related Workers
Special Education,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers","Counselors, Social Workers, and Other Community and Social Service Specialists",Other Educational Instruction and Library Occupations,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians
Specialized Accounting,Financial Specialists,Operations Specialties Managers,Other Management Occupations,Financial Clerks,Business Operations Specialists
Specialized Sales,"Sales Representatives, Wholesale and Manufacturing","Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Services",Retail Sales Workers,Computer Occupations
Speech Language Pathology,Healthcare Diagnosing or Treating Practitioners,Media and Communication Workers,Health Technologists and Technicians,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists"
Sports and Recreation,Other Personal Care and Service Workers,"Entertainers and Performers, Sports and Related Workers",Other Management Occupations,Unclassified Occupation,Healthcare Diagnosing or Treating Practitioners
Statistical Software,Mathematical Science Occupations,Computer Occupations,Business Operations Specialists,Unclassified Occupation,Other Management Occupations
Statistics,Mathematical Science Occupations,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Financial Specialists
Streaming Media Systems,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Other Management Occupations,Business Operations Specialists,Unclassified Occupation
Structured Finance,Financial Specialists,Unclassified Occupation,Operations Specialties Managers,Computer Occupations,Business Operations Specialists
Student Support and Services,Other Management Occupations,"Counselors, Social Workers, and Other Community and Social Service Specialists",Postsecondary Teachers,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Healthcare Diagnosing or Treating Practitioners
Supplier Management,Business Operations Specialists,Operations Specialties Managers,Computer Occupations,Other Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Supply Chain Management,Business Operations Specialists,Operations Specialties Managers,Computer Occupations,Other Management Occupations,Unclassified Occupation
Surgery,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,Other Management Occupations,Secretaries and Administrative Assistants
Surveying and Cartography,"Architects, Surveyors, and Cartographers","Drafters, Engineering Technicians, and Mapping Technicians",Engineers,Business Operations Specialists,Unclassified Occupation
System Design and Implementation,Computer Occupations,Business Operations Specialists,Other Management Occupations,Engineers,Unclassified Occupation
Systems Administration,Computer Occupations,Unclassified Occupation,Business Operations Specialists,Engineers,Other Management Occupations
Tax,Financial Specialists,Operations Specialties Managers,Financial Clerks,Unclassified Occupation,Other Management Occupations
Teaching,"Preschool, Elementary, Middle, Secondary, and Special Education Teachers",Computer Occupations,Other Management Occupations,Postsecondary Teachers,Healthcare Diagnosing or Treating Practitioners
Technical Support and Services,Computer Occupations,Unclassified Occupation,Business Operations Specialists,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations
Telecommunications,Computer Occupations,Healthcare Diagnosing or Treating Practitioners,Other Management Occupations,Information and Record Clerks,"Sales Representatives, Wholesale and Manufacturing"
Telecommunications Equipment and Installation,Computer Occupations,"Other Installation, Maintenance, and Repair Occupations","Electrical and Electronic Equipment Mechanics, Installers, and Repairers",Unclassified Occupation,"Drafters, Engineering Technicians, and Mapping Technicians"
Test Automation,Computer Occupations,Unclassified Occupation,Engineers,Other Management Occupations,Operations Specialties Managers
Textiles,"Textile, Apparel, and Furnishings Workers",Retail Sales Workers,Computer Occupations,Unclassified Occupation,Art and Design Workers
Theatre and Performance Art,Postsecondary Teachers,Other Teachers and Instructors,"Entertainers and Performers, Sports and Related Workers",Media and Communication Equipment Workers,Unclassified Occupation
Training Programs,Computer Occupations,Business Operations Specialists,Other Management Occupations,Healthcare Diagnosing or Treating Practitioners,"Other Installation, Maintenance, and Repair Occupations"
Transportation Equipment Manufacturing,Engineers,Assemblers and Fabricators,Operations Specialties Managers,Computer Occupations,Supervisors of Production Workers
Transportation Operations,Motor Vehicle Operators,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Material Recording, Scheduling, Dispatching, and Distributing Workers",Business Operations Specialists,Material Moving Workers
Transportation Security,Other Protective Service Workers,Material Moving Workers,Other Management Occupations,Business Operations Specialists,Law Enforcement Workers
Travel and Tourism,Secretaries and Administrative Assistants,Business Operations Specialists,Information and Record Clerks,Other Management Occupations,Unclassified Occupation
Underwriting,Financial Specialists,Information and Record Clerks,"Sales Representatives, Wholesale and Manufacturing",Unclassified Occupation,Business Operations Specialists
Urban and Regional Planning,Other Management Occupations,Business Operations Specialists,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Social Scientists and Related Workers
Urology,Healthcare Diagnosing or Treating Practitioners,Health Technologists and Technicians,Other Healthcare Support Occupations,"Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides","Sales Representatives, Wholesale and Manufacturing"
User Interface and User Experience (UI/UX) Design,Computer Occupations,Art and Design Workers,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Business Operations Specialists,Unclassified Occupation
Vehicle Repair and Maintenance,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",Motor Vehicle Operators,"Other Installation, Maintenance, and Repair Occupations","Drafters, Engineering Technicians, and Mapping Technicians",Retail Sales Workers
Version Control,Computer Occupations,Unclassified Occupation,Engineers,Mathematical Science Occupations,Other Management Occupations
Video and Web Conferencing,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers","Sales Representatives, Wholesale and Manufacturing",Other Management Occupations
Virtualization and Virtual Machines,Computer Occupations,Business Operations Specialists,Engineers,Unclassified Occupation,Other Management Occupations
Waste Management,Building Cleaning and Pest Control Workers,"Other Installation, Maintenance, and Repair Occupations",Material Moving Workers,Motor Vehicle Operators,Engineers
Water Energy,Engineers,Other Management Occupations,Unclassified Occupation,Business Operations Specialists,Computer Occupations
"Water Supply, Testing, and Treatment",Engineers,"Other Installation, Maintenance, and Repair Occupations",Other Management Occupations,Plant and System Operators,Unclassified Occupation
Web Analytics and SEO,Business Operations Specialists,Computer Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Media and Communication Workers,Unclassified Occupation
Web Content,Computer Occupations,Business Operations Specialists,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Art and Design Workers,Unclassified Occupation
Web Design and Development,Computer Occupations,Business Operations Specialists,Art and Design Workers,Unclassified Occupation,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers"
Web Services,Computer Occupations,Other Management Occupations,Mathematical Science Occupations,Unclassified Occupation,Business Operations Specialists
"Welding, Brazing, and Soldering",Metal Workers and Plastic Workers,"Other Installation, Maintenance, and Repair Occupations","Vehicle and Mobile Equipment Mechanics, Installers, and Repairers","Drafters, Engineering Technicians, and Mapping Technicians",Unclassified Occupation
Wind Energy,"Other Installation, Maintenance, and Repair Occupations",Engineers,Other Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Unclassified Occupation
Wireless Technologies,Computer Occupations,Engineers,Information and Record Clerks,Other Food Preparation and Serving Related Workers,Other Management Occupations
Writing and Editing,Media and Communication Workers,Business Operations Specialists,Computer Occupations,Other Management Occupations,Unclassified Occupation
iOS Development,Computer Occupations,Art and Design Workers,Other Healthcare Support Occupations,Personal Appearance Workers,Unclassified Occupation
