,0,1,2,3,4
Teaching,Educational Services,Unclassified Industry,"Professional, Scientific, and Technical Services",Social Assistance,Administrative and Support Services
Technical Support and Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,"Merchant Wholesalers, Durable Goods"
Telecommunications,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Telecommunications,Hospitals
Telecommunications Equipment and Installation,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Telecommunications,Specialty Trade Contractors
Test Automation,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Textiles,Unclassified Industry,Clothing and Clothing Accessories Stores,"Professional, Scientific, and Technical Services","Sporting Goods, Hobby, Musical Instrument, and Book Stores",Administrative and Support Services
Theatre and Performance Art,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services","Amusement, Gambling, and Recreation Industries","Performing Arts, Spectator Sports, and Related Industries"
Training Programs,Unclassified Industry,Educational Services,"Professional, Scientific, and Technical Services",Administrative and Support Services,Ambulatory Health Care Services
Transportation Equipment Manufacturing,Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Transportation Equipment Manufacturing,"Professional, Scientific, and Technical Services"
Transportation Operations,Unclassified Industry,Truck Transportation,Administrative and Support Services,Motor Vehicle and Parts Dealers,"Professional, Scientific, and Technical Services"
Transportation Security,National Security and International Affairs,Unclassified Industry,Administration of Economic Programs,Support Activities for Transportation,Administrative and Support Services
Travel and Tourism,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Educational Services,Real Estate
Underwriting,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities,Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services"
Urban and Regional Planning,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Real Estate,Educational Services
Urology,Unclassified Industry,Hospitals,Ambulatory Health Care Services,Administrative and Support Services,Educational Services
User Interface and User Experience (UI/UX) Design,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Insurance Carriers and Related Activities,Credit Intermediation and Related Activities
Vehicle Repair and Maintenance,Unclassified Industry,Motor Vehicle and Parts Dealers,Truck Transportation,Repair and Maintenance,Administrative and Support Services
Version Control,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
Video and Web Conferencing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,"Data Processing, Hosting, and Related Services"
Virtualization and Virtual Machines,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Computer and Electronic Product Manufacturing,Publishing Industries (except Internet)
Waste Management,Unclassified Industry,Waste Management and Remediation Services,Administrative and Support Services,"Professional, Scientific, and Technical Services",Hospitals
Water Energy,"Professional, Scientific, and Technical Services",Administrative and Support Services,Unclassified Industry,Gasoline Stations,"Electrical Equipment, Appliance, and Component Manufacturing"
"Water Supply, Testing, and Treatment",Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Chemical Manufacturing,Ambulatory Health Care Services
Web Analytics and SEO,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,"Merchant Wholesalers, Durable Goods",Educational Services
Web Content,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Educational Services,Publishing Industries (except Internet)
Web Design and Development,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Credit Intermediation and Related Activities
Web Services,"Professional, Scientific, and Technical Services",Unclassified Industry,Administrative and Support Services,Credit Intermediation and Related Activities,Insurance Carriers and Related Activities
"Welding, Brazing, and Soldering",Unclassified Industry,Administrative and Support Services,"Professional, Scientific, and Technical Services",Truck Transportation,"Merchant Wholesalers, Nondurable Goods"
Wind Energy,Machinery Manufacturing,"Professional, Scientific, and Technical Services",Unclassified Industry,Utilities,Administrative and Support Services
Wireless Technologies,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Computer and Electronic Product Manufacturing,Telecommunications
Writing and Editing,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Educational Services,Insurance Carriers and Related Activities
iOS Development,Unclassified Industry,"Professional, Scientific, and Technical Services",Administrative and Support Services,Personal and Laundry Services,Credit Intermediation and Related Activities
