,July 2022 actual,July 2024 predicted,Percent change
Open Source Technology,0.0011140211632882,0.0010582460678305,-5.0066459503400695
Electroencephalography,0.0002698932624598,0.0002561132680421,-5.105720050997008
Certified Surgical Technologist,0.0004208877057097,0.0003990013124726,-5.200055249937794
Phlebotomy,0.0055359054426674,0.0052431046243063,-5.289122464129689
Estate Administration,6.489627314154513e-05,6.104662133682083e-05,-5.932007522724505
Logfiles,6.311362219175937e-07,5.932249656442716e-07,-6.006826253472761
Bloodborne Pathogens,0.0018443822344672,0.0017327772745285,-6.051075414470159
Azure Cosmos DB,0.0002666150407114,0.0002496557048352,-6.360982422802541
Content Analysis,0.0002068338144894,0.0001933222762171,-6.532557698872993
Physical Education,0.0008247909718998,0.0007702707489866,-6.610186674039312
Elementary Algebra,0.000630567065101,0.0005885991099631,-6.655589462348116
Pat-Down Searches,5.831172794978208e-05,5.4387960425671406e-05,-6.728950868150942
Filtration,0.0001651782357299,0.0001538629630691,-6.8503411546922965
Bugzilla,1.983565755402669e-05,1.846324259499788e-05,-6.9189284766120975
Snowflake Schema,8.429530839776398e-05,7.840854304730783e-05,-6.98350295211958
Diversity Strategies,6.74134572815877e-05,6.267751193944977e-05,-7.025222460191842
Oracle Databases,0.0007307511396671,0.0006792155055791,-7.052419256092779
Research And Development,0.002068286617029,0.0019221870185717,-7.063798472339644
Billing Inquiries,0.0007057245932392,0.0006545224742648,-7.255255019438637
Umbraco,3.0514560002081477e-05,2.8292271518368227e-05,-7.282715148314973
VME EXtensions For Instrumentation,4.4600486680510653e-07,4.134964876643279e-07,-7.288794710615573
Ladder Logic,0.0004116397453528,0.0003816269922649,-7.291024111915443
Rich Ui,1.939501140789169e-05,1.793279250313629e-05,-7.539149495732876
Web Cache,1.7975259086564106e-05,1.657290914271121e-05,-7.801556222914771
Usability Design,5.3640340024771626e-05,4.943645803601565e-05,-7.837165064230732
Medication Monitoring,0.0003108625264188,0.0002862210393927,-7.926811671376084
Contract Finalization,6.730535682248692e-05,6.195176957020679e-05,-7.954177059635588
Architecture Framework,0.0001122592968464,0.0001032939054933,-7.986324166422485
Science Endorsement,6.23777491917665e-05,5.7390690344171935e-05,-7.994932347210806
Certified Clinical Research Associate,2.6361686807116503e-05,2.4244646551011836e-05,-8.03074655880199
Biocompatibility,4.007134853437875e-05,3.673320276007516e-05,-8.330505202338447
Welding Engineering,1.0868663524185906e-05,9.915754853911497e-06,-8.767487080209198
Wildfire Suppression,1.3073412457225062e-05,1.1924691165992474e-05,-8.786698155444054
Teleconferencing,3.7454110114824855e-05,3.4147553031142355e-05,-8.828289000981282
Design Brief,1.358659441272697e-05,1.2385180940973346e-05,-8.842638819248357
Needle Aspiration,0.0001225902868911,0.0001116262960119,-8.94360487869612
Lean Manufacturing,0.0064434149841184,0.0058605785978144,-9.045457847128631
Individualized Family Service Plans (IFSP),0.0002018995616672,0.0001834023956883,-9.161568170905554
Secure Hash Algorithm,1.2553793003017931e-06,1.1375353965479384e-06,-9.387115410101558
Current Good Manufacturing Practices (cGMPS),0.000463519951975,0.0004193133622785,-9.537149265774062
GPRS Core Networks,1.327176531911761e-05,1.200472295375897e-05,-9.546901522840368
Bank Secrecy,1.428984039505541e-05,1.2917942125505445e-05,-9.600514992628412
Mohs Micrographic Surgery,4.145204415762338e-05,3.7397231184832353e-05,-9.781937308983863
Glycated Hemoglobin,7.315678030379761e-05,6.594722660969912e-05,-9.85493574780005
Hay Baling,3.145341394287877e-06,2.832829288635032e-06,-9.93571337662694
Child Welfare,0.0008551928677415,0.000768752186365,-10.107741146717393
Painting,0.0059856064415909,0.0053789360380656,-10.135487681078722
Neuromuscular Medicine,1.6239709953605817e-05,1.457250796755681e-05,-10.266205436007965
Negotiation Strategies,0.0006242594080398,0.0005599682105104,-10.29879513250381
Forecasting Management,9.203739762397843e-05,8.250873073570994e-05,-10.353038149990017
Court Experience,3.684712207752006e-05,3.300850099650249e-05,-10.41769577809025
Property Testing,4.307466564533952e-05,3.857055729907608e-05,-10.456513773893368
Healthcare Financial Management Association (HFMA) Certification,5.292486282775813e-05,4.731187171886253e-05,-10.60558461372467
Oral Health,0.0005418593285917,0.0004842567567578,-10.630539845758467
Traffic Signal Timing,1.7035358366555244e-05,1.5208443127877668e-05,-10.724254807954479
Instagram Ads,3.323324509726176e-05,2.9560761968329265e-05,-11.050630530315223
Social Skills Assessment,2.450827332121595e-06,2.178914032283889e-06,-11.094755484154
SAP Ariba,0.0002263357997098,0.0002005697537984,-11.383990488661684
Production Management,0.0023330038859082,0.0020674074001095,-11.384313905474162
Municipal Law,2.791846406592733e-05,2.473752565559545e-05,-11.39367267060371
Chartered Property Casualty Underwriter,0.0002776702402952,0.0002458884896523,-11.445861324249892
Material Handling,0.0045238088843353,0.004002875243572,-11.515376844657377
National Electrical Codes,0.0002929207927184,0.0002591082856019,-11.543225321326267
Educational Materials,0.001406098087958,0.0012404423220742,-11.78123825802031
Mobile Data,7.493363906939721e-05,6.609784759416342e-05,-11.791488555695025
Solar Design,8.433248009827057e-06,7.43824412618594e-06,-11.798584394549557
Passive Solar Building Design,8.433248009827057e-06,7.43824412618594e-06,-11.798584394549557
Geospatial Data Abstraction Library (GDAL),1.4659175717260115e-05,1.2915102544248775e-05,-11.897484597021514
Fuel Injection,4.770311892849786e-05,4.196894960318052e-05,-12.020533361586438
Pressure Regulator,6.724539303321648e-05,5.909808727810793e-05,-12.115782788397295
Rmarkdown,4.236215038409241e-05,3.717757733121752e-05,-12.238691864947846
Facilities Planning,0.0002168859280485,0.0001902829950542,-12.265864011403746
ImageJ,1.538196376510938e-05,1.344821748421075e-05,-12.571517593123646
Job Scheduling (Inventory Management),0.0002414329522938,0.0002110575031694,-12.581318679082413
Houdini (3D Animation Software),1.5762717825729222e-05,1.37744686707999e-05,-12.613618900694501
SpaCy (NLP Software),3.836568732293464e-05,3.352162942636995e-05,-12.62601619981654
Medical Abbreviations,4.103109938552471e-05,3.582971818390235e-05,-12.67668007808085
Reputational Risk,0.0001552721355318,0.0001355850486792,-12.679085519866545
Dog Training,0.0001890799115055,0.0001650287468777,-12.720105714191854
Board Certified In Radiation Oncology,1.5174332214731193e-05,1.3242620527193874e-05,-12.730126507063149
Network Connections,8.732323786293442e-05,7.612802499054835e-05,-12.820428039966242
Triples Endorsement,0.0001286688067268,0.0001118522674675,-13.069631783409816
CommVault,0.0001144597720206,9.93948190591643e-05,-13.161788369388308
Operating Expense,0.0012448638880885,0.0010802542890627,-13.223100179936898
Data Hub,0.0001330033251625,0.0001152580168071,-13.342003542933423
Physical Topology,3.1088141659167592e-06,2.68389668551942e-06,-13.668153119472008
Accident Reporting,0.0008088509678092,0.0006979694777373,-13.708519181503393
Influenza,0.0001923453935922,0.0001657315057898,-13.836509055592606
Vulkan Graphics API,7.71432940799756e-06,6.646589819279631e-06,-13.84099034727488
Hemoglobin,0.0001104951720746,9.519135781801856e-05,-13.85021080038609
ABR Routers,8.438358440695217e-06,7.2656039265476115e-06,-13.897898772489036
RF Scan Guns,0.0003157720557383,0.0002714118163217,-14.048184001868771
Biological Anthropology,4.4541295081829245e-06,3.827506611212663e-06,-14.068358268861711
Plowing,0.0002797891332094,0.0002402958736566,-14.11536577556872
Informed Consent,0.00094309224487,0.0008082883469925,-14.293818935610261
Feedwater Heaters,1.7506830493843396e-06,1.4956976868394e-06,-14.564907259175783
Hydrostatic Testing,0.0001571415502351,0.0001340775946235,-14.677184727459997
Medical Practice Experience,0.0001803720130005,0.0001538413171807,-14.708876049260736
VLAN Trunking Protocol (VTP),7.680783624162469e-05,6.536232312505163e-05,-14.901491405860432
Enzyme-Linked ImmunoSpot (ELISPOT) Assay,3.3722324869977104e-05,2.86840587688758e-05,-14.940447079278504
Early Phase Development,5.83906711623298e-06,4.9441095122312176e-06,-15.327064857907235
Income Approach,8.30734978052087e-06,7.0177906740701706e-06,-15.523110745552879
Probability,0.0004500682615764,0.0003779374493865,-16.0266382564405
Sinhalese Language,6.614334055618612e-07,5.546104511019249e-07,-16.150220651343496
Service Provisioning,2.760017167718361e-05,2.3135992313464547e-05,-16.174462303832307
WiFi Security,1.1011494121252571e-05,9.227495314540912e-06,-16.201241966505517
Vernier Calipers,0.0001171565929299,9.812367298631866e-05,-16.2457096673762
Nuclear Magnetic Resonance,0.000115290758372,9.654066068585536e-05,-16.263313686987043
Notary Services,0.0009368790937731,0.0007834363031996,-16.37807819529186
Water Quality Studies,6.203479437033191e-06,5.184778891428855e-06,-16.421438258067774
Invoice Auditing,6.195052686693112e-05,5.177204843934278e-05,-16.430011078762206
Bandsaws,0.0005131244299138,0.000428460045703,-16.49977652107166
Team Explorer,4.968242990802788e-07,4.138299673024837e-07,-16.704966309303757
Breast Sonography,5.122903556769912e-05,4.255756104436114e-05,-16.926874432134557
Project Assessments,8.263708520389333e-05,6.858984029242892e-05,-16.998717799405867
Sales Administration,0.0004148541230076,0.0003442261966432,-17.024761825280486
Retail Management,0.0029827480786737,0.0024732573301909,-17.081253094272324
Breast Biopsies,2.933820418290876e-05,2.432615968288444e-05,-17.083678567293266
Business Case Analysis,0.0001646771257643,0.0001363869642183,-17.17916888256315
OpenCL,5.745837469319637e-05,4.753615696359922e-05,-17.268531841663865
Enhanced Graphics Adapter,5.481451664182795e-06,4.531687566096416e-06,-17.32687171707414
Workplace Hazardous Materials Information Systems,1.6858807817995277e-05,1.3935911579501995e-05,-17.337502568677184
Registered Diagnostic Cardiac Sonographer,0.0002355432871695,0.0001943158230091,-17.503136962987263
Real Estate Broker License,8.897301610976363e-05,7.334371998337563e-05,-17.56633281612771
Android Emulators,4.2191792203476085e-06,3.4724930543048385e-06,-17.697427083489767
Android Debug Bridge,3.113686899344823e-05,2.5624201143743392e-05,-17.704631287316673
Directed Acyclic Graph (Directed Graphs),3.325544507785967e-05,2.7339293675957664e-05,-17.790023221913746
Product Launch Readiness,0.0001065210344734,8.753159331932824e-05,-17.826940235746328
Waste Management,0.0011204462087636,0.0009206524276746,-17.83162632229084
Haematopoiesis,5.7571854909672346e-05,4.7223615920264645e-05,-17.974475558662515
Pediatrics,0.0094382789762457,0.007739138600958,-18.00265047858941
Apparel Sales,0.0001466003249103,0.0001199420877684,-18.18429608407166
Ionic Framework,2.956868520056843e-05,2.417552760580262e-05,-18.239423086225464
Orthognathic Surgery,1.7137757506104452e-05,1.4010158742511625e-05,-18.249755036379643
Ruby (Programming Language),0.0036419490381246,0.0029731437505288,-18.36393866566012
Colitis,4.027150716140642e-05,3.283276381962204e-05,-18.47147987774638
Infusion Pumps,0.0001740955458579,0.0001418398909939,-18.52755893613021
WaterCAD,5.5092277982769865e-06,4.4824222998522364e-06,-18.63792052210809
Linear Algebra,8.302814459322119e-05,6.751912778015889e-05,-18.67922845806737
Agile Projects,0.0008172226298714,0.0006645462925554,-18.682343309561254
Acquisition Due Diligence,0.0001075345443593,8.740188363830651e-05,-18.72204029035098
Vertebral Fixation,2.762520276089386e-06,2.244262420495795e-06,-18.760327664535197
Pre-Clinical Development,0.0007807513760707,0.0006331000141325,-18.911444342408636
Privacy Impact Assessments,6.27716083979034e-05,5.078071859313455e-05,-19.102409689361007
Oracle Adf,3.9700844723201865e-05,3.211135841697549e-05,-19.116687211924596
Emergency Evacuation,0.000410557456309,0.0003316653689614,-19.215845708139582
Fixatives,2.032208908197449e-05,1.6407498244387284e-05,-19.262738303117725
Hypertrophy,6.8160196928314165e-06,5.496299720192979e-06,-19.36203285953562
Marine Engineering,3.3762281444613577e-06,2.7170719683538977e-06,-19.523448887445415
Bicarbonate,6.433048930184541e-05,5.174895200852703e-05,-19.55765832012327
Bilirubin,1.1074382723669676e-06,8.891406932644363e-07,-19.711941021864458
Document Management,0.0011994672522008,0.0009622768065585,-19.774649554383377
Customer Retention,0.0020414338043524,0.001633325762096,-19.99124543672692
Internal Reporting System,3.739370317699999e-05,2.9875706558331826e-05,-20.104980197019675
Mine Warfare,6.269293751520304e-07,5.008836194077432e-07,-20.105255988957467
Physical Schema,1.7851870797941704e-06,1.4254378055165838e-06,-20.151908914726473
Full-Cycle Sales,0.0002130928859345,0.0001700177098141,-20.21427225573375
Barber License,0.0019006641881195,0.0015135164250401,-20.36907758347573
Tenacity,0.0018806750675616,0.0014969170238144,-20.405334784640054
Unreal Blueprint,5.508302276060365e-06,4.365743817524956e-06,-20.742479284426402
Training Records Management,0.00076999690608,0.0006102289360428,-20.749170389601623
Hazardous Waste Operations And Emergency Response Standard (HAZWOPER),0.0002009992164488,0.0001591021452927,-20.844395264979713
Leukemia,3.695571060485338e-05,2.9237517570996652e-05,-20.884980717548707
Executive Presence,0.0021531630184048,0.00170163875478,-20.970277668957824
Service Level Management,0.0001920113131071,0.0001517151756637,-20.986335019189017
Communication Studies,0.0001289308815355,0.0001017043660405,-21.117140572333266
Model View Controller,0.0028927762525918,0.0022740026123789,-21.390304198553416
Communications Security,6.960519034381719e-05,5.468909901642396e-05,-21.429567613729226
Radiology Certified Coder,0.0002005128540244,0.0001570875222141,-21.65713117076059
Cognitive Psychology,6.905669289287785e-05,5.388967743227432e-05,-21.963136120825997
Mass Spectrometry,0.0002955078092923,0.000229757184928,-22.25004629209751
Soil Vapor Extraction,4.2191792203476085e-06,3.2653782484382366e-06,-22.60631563858504
Training And Development Needs Assessment,2.728714975177944e-05,2.111315651807348e-05,-22.626010007891505
Certified Wireless Analysis Professional,1.7351279225178645e-06,1.3362202164306191e-06,-22.99010354858365
Oprofile,4.850315442265202e-06,3.7334412005236896e-06,-23.026837224011718
Toxicology,0.0004372082164318,0.0003361247015877,-23.120223052776968
Standard Deviation,1.6985633435321734e-05,1.303574098602152e-05,-23.254313501705425
Time Estimation,2.5506887674985345e-05,1.955229646736757e-05,-23.34503246139847
Wood Flooring,6.887473634888862e-05,5.278549342802598e-05,-23.36015173889266
Retention Period,0.0004876713934879,0.0003713884767324,-23.8445228299792
Electricity,0.0014684872635958,0.0011182630314426,-23.849320374466586
Cisco Certified Internetwork Expert Security (CCIE Security),3.333203962851366e-05,2.5352679919766285e-05,-23.939008226551746
Safety Audits,0.0007986242805228,0.0006066987509303,-24.03201784284103
Pump Stations,0.000203460983044,0.00015314238688,-24.73132460640781
ISO 20022,4.2167035477836656e-05,3.157629708952624e-05,-25.116155945743436
Microsoft Operating Systems,0.0002592312162385,0.0001940829391153,-25.131339530985247
Behaviour Therapy,0.0004117245637663,0.0003076599105597,-25.27530838934069
Foreign Account Tax Compliance Act,6.42287571872535e-05,4.79321675276372e-05,-25.372730803594685
Label Dispenser,1.532626314731063e-05,1.1422212966643916e-05,-25.47294238094675
Experiential Learning,0.0004113167965034,0.0003053660534732,-25.75891476615743
SAP Supply Chain Management (SCM),7.329265577646227e-05,5.436869564693816e-05,-25.81972222051952
Typewriters,0.0003706380617908,0.0002748466869041,-25.844991316830207
Electromechanics,0.0014872450283884,0.0011012435504824,-25.954127970713532
Ultrix,1.8849949722216545e-06,1.3944719063394204e-06,-26.02251322209649
Immigration Issues,2.7988089092642132e-05,2.0669751052193712e-05,-26.14804467794966
Idms,4.180100506027046e-05,3.0678069403424854e-05,-26.609254109579634
Occupational Safety and Health Administration (OSHA),0.0090166576265744,0.0065995372763301,-26.807276602367903
Estoppel,2.885448162467991e-05,2.1092604196030468e-05,-26.900075799700137
African-American History,1.2832591463522722e-05,9.358283318444203e-06,-27.074096100966138
Resource Distribution,8.238201377013802e-05,5.995759113448591e-05,-27.220046718232275
Certified Maintenance Reliability Professional,4.665184087152714e-06,3.379201810508086e-06,-27.565520515815216
Algebra,0.0008770719834069,0.0006350916161742,-27.5895675395708
Steel Forms,6.963510867892504e-06,5.035890556203173e-06,-27.681730498579988
Information Processing,0.0003065460245243,0.0002206298653945,-28.027164685343813
Programming Concepts,0.0002049576072401,0.0001473692057898,-28.0977135836863
Prolonged Exposure Therapy,8.008714040072889e-05,5.756653580312669e-05,-28.12012575916275
Certified Medical-Surgical Registered Nurse,5.0961113622378745e-06,3.652573375746324e-06,-28.32626455513021
Child Care Policy,1.5124639940078038e-05,1.0808693126730132e-05,-28.535864856599275
African-American Studies,2.895894849004074e-05,2.068333409973325e-05,-28.577054146677856
Channel Lock Pliers,1.1053794879298392e-05,7.894324544475784e-06,-28.58267562698925
Interest Rate Swap,4.528253155390548e-05,3.2295026019171154e-05,-28.68105004083896
Windows Small Business Servers,3.948891515571518e-06,2.814636387239267e-06,-28.723380317225345
Implantable Cardioverter-Defibrillator,4.441058994116281e-05,3.164088895825259e-05,-28.753729684357054
Data System,3.4371184389638825e-05,2.4474739808737176e-05,-28.792852957039578
Kidneys,0.0001304682228102,9.289729457303136e-05,-28.79699548895161
Energy Policy Analysis,4.880612625909469e-06,3.471071093028736e-06,-28.880422211711064
Twincat,4.496887923608384e-06,3.1964505356247635e-06,-28.91860793675566
Cannabis Cultivation,1.5380753897979348e-05,1.0932182667266592e-05,-28.92297256831597
Certified Chimney Sweep,4.846108595499639e-06,3.4439992864674865e-06,-28.932684470468285
Clinical Supervision,0.0012566013031887,0.0008929280659259,-28.941020221764667
Oracle Service Bus,3.891266216352912e-05,2.763710274424803e-05,-28.976581894849403
GoToMeeting,0.000112724667902,8.0045316019802e-05,-28.990417528316527
Rsync,6.580476243018635e-06,4.663915715751348e-06,-29.124951697844153
Pelco (Security System),1.2388010231265598e-05,8.77248503305011e-06,-29.185681402574332
Procedure Codes,0.000158801211842,0.0001118998747515,-29.534621648331434
Gel Electrophoresis,3.687593664869238e-05,2.593458388768068e-05,-29.67071145947334
Outbound Marketing,0.0002209826424651,0.0001551345704277,-29.79784805849602
Portfolio Investment,0.0001310611957471,9.137213304724868e-05,-30.282848003643004
All Terrain Vehicles,0.0001669107288366,0.0001160328163063,-30.48211033822024
Oracle Reports,3.739797029028507e-05,2.599614525182973e-05,-30.4878177878472
Java Transaction API,3.293402085650487e-05,2.289022512782991e-05,-30.496718795546606
Product Data Management,0.0002063552715318,0.0001433971053115,-30.50959917474071
Wireless Router,1.8218512279615247e-05,1.262420764399877e-05,-30.70670398194897
Construction Permitting,8.528114158904042e-05,5.898988924543364e-05,-30.82891698413369
Direct Instruction,0.0002202536488622,0.0001522323524524,-30.88316437034694
Hyperventilation,4.121914315584227e-06,2.8489284156197357e-06,-30.883366380314058
Easymock,1.5220351638263327e-05,1.051229227530552e-05,-30.93265829103411
Electric Meters,0.0002763118140669,0.0001905581451412,-31.035107642895614
Websense,1.3171957426690124e-05,9.07075917457884e-06,-31.13582984865327
Chemotherapy,0.0009371042242467,0.000645272997237,-31.14181106635084
Certified Urologic Physician's Assistant,1.8830689504526896e-06,1.2944954150376289e-06,-31.25607988350972
Application Firewall,9.06628213763266e-05,6.227440036522065e-05,-31.31208645412681
Firebase,0.0001250423736165,8.56546394861114e-05,-31.499509319288215
Health And Safety Standards,0.0015910841336853,0.001086405899329,-31.719141915352672
High Alert Medications,4.846108595499639e-06,3.306180982216149e-06,-31.77658079543556
Equipment Logs,0.0001117939995346,7.607967128018533e-05,-31.9465520538615
Contract Implementation,0.0001771870548716,0.0001205596291254,-31.95912127284666
Order Management,0.0019344941689422,0.0013158655873153,-31.978828965153827
ADABAS,7.958369333183093e-06,5.399449620841516e-06,-32.15381952269978
Congenital Heart Defects,4.643464858550719e-05,3.150237430662068e-05,-32.15761232991661
Refinishing,0.0003265488971712,0.0002214734880109,-32.17754219063004
Logistics Automation,1.734367647518998e-06,1.1713241811119698e-06,-32.46390505568172
Data-Driven Decision-Making,0.0028582873244997,0.0019291072789996,-32.50827995966917
PeopleSoft Financial Management,0.0001300078607068,8.754145706543793e-05,-32.66448921664388
Patient Shielding,5.507542001061499e-06,3.7067509422692e-06,-32.696819351449754
Style Sheets,4.50979952265741e-05,3.0266186790870865e-05,-32.887955132346
Information Organization,0.0008333889289017,0.0005579163108464,-33.05450894558171
Modern Dance,6.138678222979092e-06,4.105393713936236e-06,-33.12251327055397
Work Measurement,5.3555017313534414e-05,3.574888550267691e-05,-33.248298112971646
HyperWorks (CAE Software),5.819402058050692e-06,3.882880313489542e-06,-33.27698834422554
Motion Capture,3.955151433283664e-05,2.635910572027417e-05,-33.35500254565426
Typing,0.0109606991304283,0.0072763191874228,-33.61446107737042
Elastic (ELK) Stack,0.0001252285974991,8.295141682517756e-05,-33.76000491758783
Health Informatics,0.0002569679290695,0.0001701150111209,-33.799127487659995
Postpartum Care,0.0011731876452953,0.0007761321342944,-33.8441606160077
Dial Indicators,0.0003780553946981,0.0002500184782976,-33.86723697005969
Stocks (Inventory),0.0068804909908111,0.0045422189037542,-33.98408762077684
Commercial Planning,5.63435586412957e-05,3.71851407568207e-05,-34.00285382477294
Qualitative Data Analysis Software,1.4445267728501096e-05,9.53071844584052e-06,-34.02186359595103
Certified Welder,2.3248824842207108e-05,1.520479178561339e-05,-34.59974046511877
Change Orders,0.0033458987389032,0.0021848713335201,-34.700016228336
Animal Science,0.0001531252235125,9.985184668081014e-05,-34.79072592331009
Datasheets,0.0001347033041254,8.776198512240969e-05,-34.84793436046009
Ruby On Rails,0.0020629856447786,0.0013432016210891,-34.89040389162511
Laboratory Animal Technologist (LATG),2.0906436268127712e-05,1.3611247911983266e-05,-34.89446150736895
Fire Dynamics,6.311362219175937e-07,4.103349504799014e-07,-34.9847249721823
PDF Generation,1.6782138273394883e-05,1.0901437959321523e-05,-35.041424509033945
Neonatal Intensive Care Unit,0.0013561826884065,0.000880922534447,-35.043962588692644
Dynamic Light Scattering,4.147909666564893e-05,2.6858370408121634e-05,-35.24842012684309
Setting Appointments,0.0070913257801197,0.0045915405680719,-35.25130969241134
Gait Analysis,1.4155782830379697e-05,9.136682976343917e-06,-35.45618009386454
Emotional Distress,7.44026749527017e-05,4.7925392753470296e-05,-35.58646542757125
Audio Mixing,4.809290126125517e-05,3.081260586634192e-05,-35.93107286466554
Block Diagram,1.6390760152561533e-05,1.048687656031379e-05,-36.019583822200524
Drupal,0.0007759340380005,0.0004921400995286,-36.57449274982279
Sprint Backlogs,8.496339905594694e-05,5.37085810382752e-05,-36.786214258084215
Joint Value,5.735717110923627e-05,3.615419018624015e-05,-36.96657368721204
Publicly Funded Health Care,0.0003700413672139,0.0002331223904199,-37.000992030940935
Diabetes Self-Management Training,9.06949466261281e-06,5.703166433661791e-06,-37.11704294648342
Web UI,0.0002661824009046,0.0001672433658901,-37.16963806707861
Source Codes,1.3960049336557038e-05,8.760511186168537e-06,-37.24584365738969
Adolescent Psychology,9.84766204658065e-05,6.175766981993949e-05,-37.286972757779324
Carbon Steel,0.0001114665857779,6.96273398571468e-05,-37.53523589941022
Graphics Processing Unit (GPU),1.781954604727582e-05,1.1003017548357406e-05,-38.2530984842933
Tooling Design,0.0003780261355378,0.0002326217330193,-38.46411368135698
Algorithm Analysis,4.16744689226004e-05,2.5559052072377816e-05,-38.66975936790658
Professional Communication,0.0002432733954028,0.0001490440834146,-38.733915737962135
Banking Software,4.436862218402253e-05,2.7080922959282865e-05,-38.963795524317845
Key Management,0.0003966288326949,0.0002419682148995,-38.993790931576086
Demand Management,0.0005293788832055,0.0003218880623974,-39.19514498797149
Enterprise Risk Management (ERM),0.0010023404580287,0.0006094315154192,-39.19915029492403
Certified Welding Educator,9.381187606580602e-06,5.674301560391678e-06,-39.514038111642314
Development Support,3.128709678508192e-05,1.8918961663349915e-05,-39.531105128390465
Simulation Software,0.0002407690833514,0.0001455368800776,-39.55333548153671
Laravel,0.0005394900014086,0.0003239419299232,-39.954043804817026
Metro Ethernet,3.35649013171908e-05,2.0138113724637213e-05,-40.00246407897778
Ontologies,0.0001020114360283,6.110213605988024e-05,-40.102660604709754
Website Management,0.0002924037321837,0.0001742822766882,-40.39669897964615
Command-Query Responsibility Segregation (Software Development),5.424384068567113e-05,3.222336561356404e-05,-40.59534648313342
Construction Inspection,0.0003207521775398,0.0001897394157198,-40.84547853264176
Telephony,7.834099790839723e-05,4.619861478926877e-05,-41.028815023153
Intradermal,7.248122792398815e-05,4.2702335398056095e-05,-41.084972452676304
Community Health Improvement,1.660718945161321e-05,9.77731206397452e-06,-41.12602802261186
Appdynamics,0.0004536128873585,0.0002664402532215,-41.262635906786635
Pipeline Planning,2.998779926128682e-05,1.7586693199170537e-05,-41.35383845297934
Interlock System,5.698665230470344e-05,3.341214646140031e-05,-41.36846943956627
Django (Web Framework),0.0010289562035052,0.0006023216341577,-41.462850206271575
Magnetic Particle Inspections,2.616977309678592e-05,1.5309908211323864e-05,-41.4977418615671
Surgical Instruments,0.0008813988153023,0.0005129154126886,-41.806659620630235
Transmission System Operator,3.265940604832938e-05,1.8948814620909095e-05,-41.9805290002254
Environmental Contamination,1.5574892108600432e-05,9.020708819211567e-06,-42.08172514896366
Windows Performance Monitor,2.339413532557888e-06,1.3524367176637535e-06,-42.18907008779185
Sterile Products,0.0002701825389785,0.000155905410098,-42.29626729860352
Certified Quality Engineer,0.0001771632781262,0.0001020297819328,-42.40918151214137
Preoperative Care,4.0866500101755305e-06,2.3522177976117875e-06,-42.441417988942135
Barcode Systems,2.4732997757892013e-05,1.4216210772178212e-05,-42.521279016240626
Catastrophe Modeling,0.0001129095398064,6.452673974627465e-05,-42.85094080011731
Good Laboratory Practice (GLP),0.0012062491015197,0.0006854740711124,-43.173091673286926
Leveraged Finance,0.0001581461658666,8.961085966324247e-05,-43.3366852922433
Automatic Sprinkler System Layout,4.2191792203476085e-06,2.390542138206901e-06,-43.341062008502455
Public Transport,2.537654881793682e-05,1.4356302350030942e-05,-43.42689207650047
Medicinal Chemistry,3.65841468452515e-05,2.0571924881719395e-05,-43.76819837090294
Medical Social Work,0.000266918078433,0.0001500594784175,-43.780698820231116
Prime Lens,6.102248170800297e-06,3.403122366641352e-06,-44.231662308892304
.NET Assemblies,8.806459179487368e-06,4.905714526359094e-06,-44.29413199591234
Geospatial Analysis,3.73401066732005e-05,2.0738034443928697e-05,-44.461769685268024
Mills,0.0011896346100281,0.0006600052200657,-44.520341413897654
Stock Management,0.0001784166454263,9.88178690519133e-05,-44.61398553044044
Service Delivery Improvement,0.0002192898007937,0.0001210986592212,-44.77688484238932
Nebulizer,0.0004196124109302,0.0002315636202796,-44.81487814760579
Command Prompt,2.4686241602536104e-05,1.3562172855251454e-05,-45.06181591507164
Database As A Service (DBaaS),2.261051666305457e-05,1.2421274181913374e-05,-45.064173601085145
Thermodynamic Systems,3.8391897050524905e-05,2.1017960668443757e-05,-45.25417527353889
Caulking,0.0004209371324231,0.0002300855483988,-45.339688358134154
Predictive Dialer,1.212040882325734e-05,6.613393734615224e-06,-45.43588561200128
System Programming,0.0002540195534902,0.0001384171685781,-45.509246561430515
Security Implementation,0.0001083186879196,5.890923301999382e-05,-45.61489420577228
PHP Frameworks,5.653406445574749e-05,3.0706262082346656e-05,-45.685380349077434
Query Builder,1.862742373469244e-05,1.010653457517828e-05,-45.74378765886194
Responsive HTML,8.544000591395254e-05,4.629560357657575e-05,-45.81507447085092
Protein Biosynthesis,8.405134474987066e-06,4.539025738170552e-06,-45.99698848747406
Uveitis,4.706446755664509e-05,2.5347427093334463e-05,-46.14317677592503
Standard Widget Toolkits,8.70101466505307e-06,4.675164710252099e-06,-46.268741173032105
Registered Jacks,9.693737740997009e-06,5.205478417790534e-06,-46.30060605234461
Media Planning,0.00134719501705,0.0007221677376634,-46.394714312055875
Color Theory,0.0002253635290398,0.0001205922651551,-46.48989316554278
Samba (Software),1.7440909186106585e-05,9.320305673798816e-06,-46.56066622247329
Food Science,0.0010155984787254,0.0005409798971731,-46.73289607010415
Computer-Assisted Legal Research,1.8849949722216545e-06,1.0034471073774052e-06,-46.76658971696128
Standards Of Training Certification and Watchkeeping,1.0224305795488251e-05,5.441410375368891e-06,-46.77965933129603
User Accounts,0.0006282715562339,0.0003338190239291,-46.867079908863154
