,tot,counts
Pocket PC,93226.0,2.0
GPS Data,2309504.5,53.0
IBM Utilities,3382612.0,32.0
Surface Plasmon Resonance,43500.0,1.0
Oracle Certified Associate (OCA),0.0,0.0
Employment Advertising,3423727.0,63.0
Labor Unions,8826077.0,85.0
Structured Design,2406705.0,22.0
Broadcast Engineering,3192724.5,41.0
System Identification,586720.0,6.0
Controlled Vocabulary,1940369.0,18.0
Investment Broker,1047500.0,7.0
Lean Product Development,3177948.0,17.0
Tape Libraries,993610.0,16.0
Acceptance Sampling,1916224.0,28.0
Ion Semiconductor Sequencing,0.0,0.0
Water Metering,9999965.0,158.0
Dolby Digital,442500.0,3.0
American Translators Association (ATA) Certification,0.0,0.0
FINRA Series 27 (Financial And Operations Principal),1414669.0,12.0
TIBCO EMS,4809039.0,38.0
Digital Dashboards,1187870.5,20.0
Database Normalization,1059740.0,11.0
.NET Assemblies,1465484.0,10.0
Wowza,62400.0,1.0
Pulmonary Research,0.0,0.0
ArchiCAD,699177.0,11.0
Adult/Gerontology Primary Care Nurse Practitioner (AGPCNP-BC),361300.0,3.0
HIV Research,398178.5,7.0
Advisory Work,4490502.5,40.0
Vimeo,2665498.0,52.0
Petty Cash,393136.0,10.0
Stonemasonry,3203620.0,71.0
ARRT Cardiac Interventional Radiography (CI) Certification,197600.0,1.0
Reportable Disease,2568648.0,36.0
Full-Text Search,1464950.0,8.0
Consumer-Driven Health Care,1764219.0,46.0
Railroad Operating Rules,824018.0,9.0
Fat Client,942044.0,9.0
Certified Sales Associate,1089245.0,33.0
Call Control Extensible Markup Languages,770400.0,6.0
Short Films,996814.5,19.0
Hotfix,4944730.5,48.0
Rapid Control Prototyping,223000.0,2.0
Hardware Interface Design,4071432.0,40.0
IBM Certified,837480.0,8.0
Ggplot2,1303680.0,14.0
Electromagnetic Absorption By Water,165360.0,5.0
Graphics Software,2334225.0,37.0
eSports,2908870.5,58.0
FAA Second Class Medical Certificate,8691984.5,94.0
Air Traffic Flow,1093902.0,8.0
Domain Model,958520.0,8.0
Journeyman Lineman,1389556.5,14.0
First Aid Supply Management,5252547.5,139.0
Flame Cutting,1694055.5,36.0
Drug Formulary,2240187.5,25.0
Manuscript Collections,169451.0,3.0
Workflow Engine,574320.0,5.0
Centrifugal Compressor,1136800.0,12.0
Stationary Engineering,1294174.0,22.0
Full Scope Polygraph (FSP Clearance),723910.0,6.0
Yoga Certification,4630849.5,70.0
Color Palette,2360535.5,26.0
WinDBg,200000.0,1.0
XPC Target (Simulation Programming Language),223000.0,2.0
Blade Servers,4575781.0,47.0
Breakpoint,4410656.5,50.0
Digital Rights Management,700389.0,5.0
Alternative Fuel Vehicles,949436.5,13.0
In-Plane Switching (IPS),222560.0,3.0
Anything Relationship Management (xRM) Software,2023000.0,27.0
Siebel Marketing,186154.0,3.0
Hyperion Financial Reporting,1414981.0,13.0
HTML Formatting,443380.0,7.0
Licensed Independent Social Worker,17618700.0,169.0
Automatic Identification And Data Capture,4190245.0,41.0
Finding Aids,2393180.0,43.0
Liferay,3589010.5,34.0
Tensile Testing,3560206.0,83.0
Advanced Robotics,946717.5,16.0
Device Setup,8638242.5,193.0
Eminent Domain,1388191.0,14.0
Image File Formats,877924.0,9.0
Passenger Information,3329496.0,62.0
Certified Veterinary Technologist,0.0,0.0
IBM Case Manager,364000.0,3.0
Buffer Overflow,1971938.0,18.0
Modified-Barium Swallow Study (MBSS),1685028.5,20.0
Government Incentives,2648560.0,18.0
Multi-Engine Land,59335826.0,651.0
Scholarship Of Teaching And Learning (SoTL),2615881.0,51.0
Molecular Modeling,320816.0,5.0
Quadrature Amplitude Modulation (QAM),140400.0,1.0
FAS 5,1758300.0,11.0
App Data,2640912.0,24.0
Recruitment Consultancy,583750.0,8.0
Inhalation Therapy,1007892.5,10.0
Graphics Layout Engines,652780.0,11.0
Conforming Loan,0.0,0.0
Commercial Pilot License,4208268.0,37.0
Windows Registry,2047723.0,24.0
Unconditional Positive Regard,989726.5,22.0
Mineralogy,65000.0,2.0
Fieldbus,2587780.0,27.0
Hydrochloric Acid,357577.5,7.0
FAA Instrument Rating,61437879.0,698.0
Laptop Troubleshooting,1055698.0,19.0
Quantitative Marketing Research,1980460.5,22.0
Embedded Code,3210810.0,24.0
Host-Based Intrusion Detection Systems,9767067.5,80.0
AutoTURN,655600.0,12.0
Real Estate Marketing,4811173.5,107.0
Profiling (Computer Programming),3087128.0,27.0
Protein-Protein Interactions,622500.0,4.0
Certified Internet Webmaster,222362.0,4.0
EtherCAT,6179506.0,55.0
Lead Workflow,2538204.0,23.0
CANopen,3752886.0,31.0
Stock Markets,4809206.0,53.0
Oracle Adf,3794750.5,27.0
Mechatronics Certification,1211080.0,25.0
Readers' Advisory,15304002.5,336.0
Statutory Accounts,2609119.0,29.0
Audiometry,4220634.5,65.0
Certified Sommelier,1458232.0,24.0
Event Viewer,1357842.0,14.0
Symantec Endpoint Protection,5123796.0,59.0
Talent Mining,142600.0,2.0
Fire Service Communications,0.0,0.0
Hysteroscopy,1417751.5,13.0
Crime Scene Investigation,1046668.0,17.0
Empower 3 Chromatography Software,2425763.5,45.0
Enterprise Portal,2368359.0,22.0
Tracheal Tube,379200.0,5.0
Chemical Synthesis,2370280.0,29.0
Talk Shows,455440.0,14.0
Channel Allocation Schemes,98900.0,2.0
Inductively Coupled Plasma,1000525.0,7.0
Network Science,211246.0,4.0
Vbrick (Software),90000.0,1.0
Generalized Multi-Protocol Label Switching,472650.0,3.0
Aviation Cyber Security,270400.0,4.0
ISO/IEC 11179,0.0,0.0
Musical Composition,744107.5,11.0
Surgical Pathology,2929270.5,34.0
Hapi.js (Javascript Library),998100.0,9.0
Stereolithography,1198768.5,19.0
Urban Economics,353500.0,3.0
CAN Bus,8590505.5,77.0
Dietary Analysis,0.0,0.0
Hierarchical Clustering,38958.5,1.0
Bottling Line,719786.5,14.0
Radiation Monitoring,1190480.0,14.0
HVAC Testing,121432.0,3.0
Archival Processing,1471948.5,29.0
Web Dynpro,4518460.0,34.0
Burr (Cutter),1078240.0,24.0
Timing Diagrams,2416780.0,12.0
Drive Mapping,141780.0,2.0
Structural Geology,0.0,0.0
Burmese Language,1928452.0,48.0
Control Operation,2325644.0,32.0
Computational Complexity Theories,448000.0,4.0
Isothermal Titration Calorimetry,0.0,0.0
Phase-Shift Keying,140400.0,1.0
Risa (Structural Engineering Software),5670905.0,61.0
Wetland Ecology,642998.0,16.0
Puppeteer (Software),3847891.0,30.0
Audio Production,4342430.0,79.0
E-Waste,1265028.0,25.0
Channel Router,0.0,0.0
Electronic Symbols,2599326.5,56.0
Environmental Chamber,301104.0,6.0
Building Performance Modeling And Simulations,1767360.0,15.0
Certified Prosthetist/Orthotist (CPO),358352.0,4.0
Computer Reservations Systems,2954172.0,55.0
American Board Of Surgery (ABS) Certification,302500.0,1.0
Statistical Arbitrage,690000.0,3.0
Enform Software,110000.0,1.0
Trapeze (Software),638560.0,16.0
Encapsulation (Networking),1590980.0,20.0
History Of Science,76250.0,1.0
Azure MFA,1049223.0,9.0
Revenue Sharing,1671180.5,29.0
Financial Statement Compilation,1216271.0,18.0
Jury Instructions,3843458.0,68.0
IEEE Standards Association,1908692.0,29.0
HotDocs,1771444.5,29.0
Residential Restoration,2656893.0,35.0
Video Cameras,7936778.5,97.0
Virtual Memory,0.0,0.0
Docking (Computers),6605319.5,133.0
End-User License Agreement,3529284.5,34.0
Project Layout,8056260.0,128.0
Clinical Engineering,4033150.5,41.0
Ceramic Materials,5567939.5,58.0
ReSharper,1138903.5,10.0
Database Query Tools,5400855.0,59.0
Customer Information Systems,4155532.5,74.0
Auscultation,1227191.0,13.0
Cardiothoracic Intensive Care,102544.0,1.0
Website Monitoring,1508147.5,21.0
Position Sensor,0.0,0.0
Qumu,0.0,0.0
Bank Runs,2870997.0,66.0
Sports Journalism,1274075.0,27.0
Logarithmic Functions,3387291.0,44.0
Systematic Trading,2453300.0,11.0
Motivational Speaking,1154720.0,22.0
Fuzz Testing,7106783.5,68.0
Medical Transcription,9406120.0,184.0
Mongoose (Software),1145098.5,11.0
Digital Decoupling,485360.0,3.0
FishEye (Software),1485500.0,14.0
Mobile Electronics Certified Professional,927641.5,20.0
Internet Strategy,400000.0,2.0
Mean Stack,4131878.0,38.0
Rotational Molding,2929658.0,62.0
Substance Designer (3D Graphics Software),122440.0,2.0
Native API,290000.0,2.0
Certified Medical Dosimetrist,0.0,0.0
Network Access Servers,362520.0,6.0
Meat Cutter Certification,0.0,0.0
Internet Standard,1007840.0,14.0
Lucidworks,2392323.5,15.0
Local Security Policy,2587564.0,37.0
Outbound Logistics,3987840.5,61.0
Net Health Optima,1483930.0,21.0
Prinergy,444195.0,9.0
Structural Biology,782580.5,12.0
Weld Quality Assurance,315520.0,6.0
IBM RAD,376400.0,3.0
Mainframe Testing,935755.5,10.0
Preventive Dental Care,3445667.0,35.0
Categorical Exclusions,1806898.5,16.0
Forestry Equipment,709476.0,12.0
Good Governance,1775561.0,13.0
Portfolio Management Professional,2207668.0,18.0
Nutritional Analysis,1494053.5,22.0
Certified Software Quality Analyst,3092736.5,31.0
Flagger Certification,614651.0,14.0
Advanced Burn Life Support,565345.0,7.0
Remote Access Policies,332800.0,2.0
Specialist In Hematology (SH-ASCP),2812964.5,28.0
Cohort Studies,2953374.5,22.0
Groundwater Flow,238391.0,4.0
Nutrition Certification,5401936.0,114.0
Investigational Device Exemption,614575.5,5.0
Microsoft Sysprep,0.0,0.0
Web AppBuilder,279100.0,2.0
Paratransit,2384678.5,68.0
Structured Text,4227660.0,40.0
Pharmaceutical Publication Planning,2035861.5,24.0
Hotel Reservation Systems,2719068.0,69.0
Youth Health,3629527.5,51.0
Electrically Erasable Programmable Read-Only Memory (EEPROM),1868604.0,13.0
Microsoft Sharepoint Migrations,1486385.0,14.0
Business Simulation,943618.0,11.0
Vertical Form Fill Sealing Machine,2866875.5,52.0
Conductor Certification,2909879.5,35.0
Storage Architecture,3520398.0,24.0
Labor Delivery Recovery And Postpartum,1935362.5,19.0
Pypi,77500.0,1.0
Microsoft Certified Partner,6981365.0,57.0
Splunk Enterprise Security,2770139.0,23.0
Crime Reports,1740352.0,44.0
Distributed Database,5929039.0,36.0
Accounts Payable Automation,1305500.0,12.0
Motor Design,1629000.0,15.0
Geospatial Databases,2876802.0,53.0
Overhead Lines,2186261.5,31.0
Photodynamic Therapy,69680.0,1.0
Withdrawal Symptoms,748822.5,7.0
IBM Guardium,1559784.0,11.0
Video Mixing,0.0,0.0
TIBCO Business Studio,2064758.5,16.0
Polyphase Systems,603020.0,9.0
Semi-Structured Data,3539198.5,29.0
Electronic Oscillator,1306298.0,16.0
International Classification Of Diseases,2364610.0,40.0
Wildfire Suppression,2186396.5,46.0
Student Lending,898558.0,8.0
Process Isolation,314600.0,2.0
Protein Production,415000.0,5.0
ATLAS.ti (Qualitative Data Analysis Software),173520.0,4.0
Carbon Markets,2756130.0,20.0
Deep Learning Methods,408958.5,3.0
Battery Technology,1257645.0,17.0
Certified Fiduciary And Investment Risk Specialist (CFIRS),677327.5,6.0
Weapons Training,1052702.5,17.0
Adjunct Therapy,152200.0,2.0
Nested Queries,225000.0,2.0
Usage Tracking,1736630.0,24.0
XtremIO (Network-Attached Storage System),308800.0,3.0
Tree Maps,217794.0,3.0
DataBasic,650197.5,12.0
Industrial Networking,6747137.0,92.0
Expenditure Authorization,235360.0,3.0
Boiler Room,134706.5,2.0
DVB - Digital Video Broadcasting,1857500.0,13.0
Crack Sealing,3827002.5,80.0
Jetty,4077901.5,35.0
Desire2Learn,1719774.0,24.0
Hyperledger,1422239.5,11.0
Code Formatting,53040.0,2.0
Security Identification Display Area (SIDA) Badge,7971948.0,182.0
Subsidies,395628.0,6.0
Supply and Demand Modeling,132080.0,1.0
Certified Professional Of Occupancy,35360.0,1.0
Herbicide Spraying,1336448.0,36.0
Character Animation,760482.0,10.0
IBM Tririga,3753221.5,46.0
ChatOps,1782440.5,10.0
Urinary Tract Infection,6294355.5,53.0
Discrimination Complaints,4300368.5,55.0
Precision Teaching,1773900.0,32.0
Food Procurement,1953968.5,30.0
Contact Resistance,141128.0,3.0
Session Manager SubSystems,2978200.0,26.0
SkyJack,448432.0,8.0
Pharmaceutical Formulation,1524096.0,28.0
Rural Health Clinics,1350110.5,21.0
Fellow Of The Casualty Actuarial Society (FCAS),1035000.0,7.0
Endocrine Diseases And Disorders,4273311.5,21.0
Scale Drawings,1758945.0,73.0
Margin Lending,1141356.0,7.0
Abdominal Aneurysm,0.0,0.0
Asbestos License/Certification,925193.0,16.0
Salesforce1,1414800.0,10.0
Pulpers,98613.0,2.0
Electronic Business Using EXtensible Markup Language (EbXML),978300.0,9.0
Oracle Clinical,1667846.0,16.0
Space Efficiency,320280.0,4.0
International Credit,866300.0,6.0
NT File System (NTFS),6582929.0,81.0
Cardiotocography,2913048.0,27.0
Radius Gauge,870600.0,21.0
Myocardial Infarction,1353796.5,12.0
Foodborne Illness,4156909.0,77.0
Teleconferencing,2970913.5,39.0
Health Crisis,2493620.0,51.0
VMware Fusion,3629480.0,10.0
Commuter Rail,4800537.5,47.0
Certified Industrial Refrigeration Operator (CIRO) Certification,1324762.0,18.0
Fuzzy Logic,460230.0,17.0
Paraphrasing,1452740.0,30.0
Data Transport Utility,9792736.0,120.0
Africana Studies,66360.0,2.0
Transfusion Reactions,109200.0,2.0
Powered Speakers,650000.0,17.0
Object Recognition,481800.0,5.0
Malware Detection,6361112.5,52.0
Osteopathic Manipulative Medicine,89440.0,3.0
Theano (Software),2217100.0,20.0
OpenDeploy,0.0,0.0
Java Web Services,5877570.0,50.0
Inversion Of Control,1800319.5,15.0
Wireless Network Interface Controllers,1192145.0,20.0
Robotium,1368372.0,12.0
Staple Gun,1665040.0,47.0
Clinical Nurse Leader (CNL),1933324.0,20.0
Network Address,743146.0,13.0
ITIL Practitioner Certification,2373340.0,19.0
Discrete Optimization,0.0,0.0
Facebook Platform,530000.0,9.0
Quadratic Equations,2632987.5,31.0
ServiceMax,1867982.5,22.0
Immunoprecipitation,320621.0,7.0
Low-Noise Amplifier,1846318.5,15.0
Norwegian Languages,3360004.0,59.0
Microsoft Certified Professional Developer,1420733.5,15.0
Juniper Networks Certified Internet Expert,5227762.0,38.0
Electronic Retailing Self-Regulation Programs,1769760.0,63.0
Small Computer System Interface (SCSI),782020.0,12.0
Corporate Accounts Payable,4590551.5,90.0
Emergency Power Systems,2311574.0,33.0
Petrel,0.0,0.0
Information Display Systems,298732.0,8.0
SAP CO,2768840.0,20.0
Wind Engineering,330000.0,3.0
Microsoft Planner,8692356.5,82.0
Constant Contact,700700.0,15.0
Interlock System,6607328.5,101.0
Mixed Martial Arts,2784420.0,27.0
Atlassian OpsGenie,1650240.0,15.0
Privacy Act Of 1974,2325949.0,27.0
Aerators,3153789.5,79.0
Technical Translation,581330.0,9.0
Business Process Modeling Language,1581300.0,15.0
ACORD Forms,552200.0,12.0
Knowledge-Based Engineering,0.0,0.0
Buckling,1339908.0,34.0
Cardiac Rhythm Interpretation,3769353.5,27.0
Body Work,2380383.0,44.0
EViews,750716.0,9.0
Computer-Aided Facility Management,1118200.0,12.0
SAP Project System,1695049.5,12.0
Open End Wrenches,3673685.5,99.0
Denial-Of-Service (DoS) Attacks,3326115.0,28.0
Biodiesel,785750.0,10.0
DropBox Sign,269577.0,7.0
Database Search Engine,1775855.0,33.0
Flight Planning,7287868.0,158.0
Network Element,1015293.5,12.0
Basic Safety Training,490120.0,10.0
Unsecured Debt,7453320.0,70.0
Equipment Cost,1931968.0,25.0
Doctrine Query Language (DQL),1066250.0,10.0
Law Enforcement Communications,3711982.5,60.0
Engine Management Systems,1509820.0,29.0
Computer Room Air Handler (CRAH) Units,2715442.0,31.0
Psycholinguistics,0.0,0.0
Environmental Data Analysis,566760.0,7.0
Good Clinical Data Management Practice,1188166.5,9.0
Office 365 Admin Center,185000.0,2.0
Air Traffic Management,7727635.0,51.0
Personality Disorder,3991957.0,44.0
Curriculum Studies,531983.5,13.0
AutoIt,1879500.0,12.0
Religious Education,345950.0,7.0
Certified Clinical Hemodialysis Technician (CCHT),2467378.0,37.0
Online Storage,400800.0,6.0
TeamForge,114400.0,1.0
Amateur Radio License,0.0,0.0
Cognitive Psychology,2630626.0,31.0
Native Code,500000.0,3.0
Heavy Equipment Transporter System,185260.0,2.0
Audio Analyzer,1337900.0,21.0
Gift Accounting,1315480.0,16.0
Psychological First Aid,425500.0,7.0
Electrical CAD,5473527.0,76.0
Cybersecurity Forensic Analyst,0.0,0.0
Soil Ecology,134845.5,2.0
Platelets,69514.0,2.0
Positive Psychology,343200.0,4.0
Tier 2 Technical Support,4222992.0,66.0
Peacekeeping,554595.0,11.0
Microsoft LUIS,286500.0,2.0
Event Management Certification,63744.0,1.0
Datacap,2509436.0,14.0
Capital Gains,930241.5,15.0
NetLogo,0.0,0.0
Mediant AMISYS Advance,1021860.0,18.0
Compensation Benchmarking,6357350.0,50.0
Channel Lock Pliers,241637.0,6.0
Major Depressive Disorder,9405102.0,116.0
Alternative Therapies,2231342.0,26.0
Climate Prediction,315000.0,2.0
Animal Bites,7220224.5,207.0
Windows Remote Assistance,5471137.5,94.0
Storage Virtualization,5491890.0,49.0
Framing Squares,2042342.0,37.0
Gas Trading,72800.0,1.0
Anti-Social Behaviour,951544.0,22.0
Scan Tool (Automotive),517380.0,5.0
Link 16,114400.0,1.0
External Beam Radiotherapy,492320.5,5.0
Public Key Cryptography,3110645.0,28.0
Terminal Server,1925660.0,24.0
Grommet,1198818.5,32.0
Therapeutic Endoscopic Procedures,977563.0,8.0
Title Evidence,702185.0,7.0
Certified Substance Abuse Counselor (CSAC),741367.5,17.0
Evoked Potential,2714690.0,27.0
Schizoaffective Disorder,402860.0,8.0
Publication Design,1560015.0,28.0
Fault Management,2846465.0,31.0
Intravascular Ultrasound,1633836.0,16.0
Destructive Testing,464720.0,8.0
Event Triggers,1467100.0,11.0
American Red Cross Instructor Certification,555986.0,11.0
Agricultural Economics,2863134.5,42.0
Adolescent Medicine,249600.0,7.0
Information Systems Architecture,6048329.0,46.0
Java Transaction API,1367088.5,10.0
Maximum Flow Problem,761950.0,12.0
Appliance Sales,844025.0,14.0
Salesforce Certified Pardot Specialist,135200.0,1.0
Type Conversion,474543.0,5.0
TimeXtender,215000.0,2.0
Menu Costing,1873501.5,29.0
Oracle Identity Analytics,0.0,0.0
Mechanical Plans Examination,1346023.0,17.0
COBRA Administration,1320445.0,23.0
Pipeline Pilot,257920.0,4.0
Food Inspection,8041541.0,147.0
Explosive Trace Detection,2142315.5,45.0
Alternators,18648381.0,314.0
Mechanical Fans,1143266.5,17.0
Geriatric Education For Emergency Medical Services (GEMS),99278.0,2.0
Jewish Studies,1850347.0,31.0
Architecture Framework,13119022.0,93.0
Grievance Arbitration,1679670.0,17.0
DataHub (Software),1119870.5,9.0
Environmental Geology,606878.0,11.0
Romanian Language,8879611.0,146.0
Traditional Animation,1259874.5,26.0
Geodemography,475000.0,6.0
Visual Compliance,115440.0,3.0
Solar Photovoltaic Design,1571337.0,16.0
Gravimetry,1492507.0,33.0
Escheat,599070.0,8.0
Unified Endpoint Management,796160.0,5.0
Orthopedic Traction,0.0,0.0
Visual Recognition,33800.0,1.0
Biological Safety Cabinet,2040920.0,37.0
Croatian Language,5005081.0,64.0
Http2,634320.0,8.0
Incremental Backup,343255.0,3.0
Dental Space Maintainers,3715840.0,77.0
Vitamin Therapy,508560.0,10.0
Infrared Thermometer,2467920.0,65.0
American Society of Mechanical Engineers (ASME) Certified,744640.0,14.0
SAP Logistics,4207523.0,43.0
Bleeding Time Test,429653.0,9.0
Seizure Precautions,1226745.5,23.0
Sociolinguistics,50000.0,1.0
Inventory Industry,915184.0,12.0
VirtualBox,2117840.0,24.0
macOS Sierra,144040.0,3.0
Service Component Architecture,1790355.5,15.0
Doctor Of Public Health,195533.5,3.0
Roaming User Profile,671200.0,7.0
Dermabrasion,4057620.0,63.0
Psychometry,407276.0,8.0
Photovoltaics,425100.0,8.0
Rich Ui,466280.0,4.0
Public Law,191614.0,7.0
Privileged User Management,1095970.0,9.0
Executive Development,1996663.0,21.0
Investigative Interviewing,2731951.0,38.0
Brush Hogs,115800.0,4.0
Task Queue,235200.0,2.0
Macromolecule,270972.0,5.0
Data Transformation Services,1126432.5,11.0
Laser Medicine,1112680.0,16.0
Technical Demonstrations,881600.0,8.0
GIAC Web Application Defender,3119765.0,22.0
Link Aggregation (Ethernet),11441290.0,114.0
Correspondent Banking,1372535.0,21.0
Principal Component Analysis,3239009.0,24.0
Computer And Network Surveillance,829360.0,14.0
ICalendar,359320.0,13.0
Combinatorics,0.0,0.0
Aquaponics,211490.5,5.0
Actuarial Reserves,280680.0,4.0
Cloud Security Applications,2587050.0,16.0
Espresso (Java),1077520.0,22.0
Catalog Service For The Web,363965.0,4.0
Reagent Manufacturing,4222782.0,68.0
Hardware Stores,2154260.0,47.0
Dials,3190836.5,62.0
IBM Lotus Word Pro,0.0,0.0
Welding Technology,2115070.0,39.0
Embedded Intelligence,182495.0,1.0
Instrumentation Specification,1046860.0,10.0
Constrained Optimization,205250.0,3.0
Commercial Moving,1390080.0,28.0
Neonatal Heel Prick,602805.0,12.0
Dyes,21208894.0,134.0
Cross Curricular Instruction,2630940.0,51.0
Structural Engineering Software,121750.0,2.0
Beautician's License,30000.0,1.0
Ethnic Studies,1059307.0,13.0
Integumentary System,2294010.5,30.0
SAP Solution Manager,2895838.5,35.0
Revolving Fund,2791143.5,36.0
Superuser,4138118.0,26.0
Jury Management,684851.0,8.0
Integrative Medicine,6009346.0,83.0
Intraoperative Neurophysiological Monitoring,838092.5,13.0
Norton Antivirus,950000.0,14.0
Annealing Furnaces,246480.0,4.0
Convertible Bond,665450.0,6.0
Medical Interpretation,2296090.5,30.0
Systemic Therapy,215235.5,3.0
Crazy Egg (Website Optimization Tool),1174950.0,12.0
Custom Widgets,260000.0,2.0
Boat Maintenance,1557832.0,32.0
HAProxy,1620635.0,12.0
Hardware Security Module,2123283.0,15.0
Certified LabVIEW Developer (CLD),1748691.5,18.0
Virtual Private Cloud,2805080.0,22.0
Google Storage,786379.5,8.0
Certified Inpatient Coder (CIC),2493053.5,39.0
Turbomachinery,234100.0,2.0
Otitis Media,0.0,0.0
Photometer,65000.0,1.0
Amazon Managed Streaming for Apache Kafka (Amazon MSK),1094109.0,7.0
Automatic Packet Reporting System,390582.0,7.0
Trade Allocations,1166987.0,10.0
CaseWare Software Applications,5796225.0,54.0
Spacecraft,2485330.0,21.0
System Imaging,2781586.0,58.0
Asthma Education,1063385.0,21.0
Educational Equity,4376247.5,52.0
Postfix,2240757.0,20.0
Treasury International Capital,109200.0,3.0
Documentation Lifecycle,1407425.0,18.0
Thumbnails,2074740.5,40.0
Lubrication Systems,3067654.0,50.0
Xilinx ISE,2105476.0,15.0
AppleScript (Scripting Language),214936.5,5.0
SAFe for Teams,0.0,0.0
Building Plans Examination,1727668.5,22.0
Amazon Cloud Drive,1580450.0,16.0
Mobile Intensive Care Units,25179.0,1.0
Infrastructure Optimization,964625.0,8.0
Second Language Instruction,147912.0,4.0
Financial Monitoring,4699078.0,63.0
Credit Derivatives,5722979.0,39.0
Preoperative Care,1502578.5,25.0
Video Cards,4799819.0,92.0
Behavioral Neuroscience,120000.0,1.0
Asynchronous Learning,1336392.0,19.0
Diagnosis-Related Group,1788879.5,25.0
Cloudbees,5821024.0,44.0
Parameter,699135.0,16.0
Bone Marrow Examination,200500.0,3.0
Stewing,3506677.0,51.0
Sound Cards,260000.0,7.0
Cortana,235000.0,2.0
Climate Engineering,485260.0,8.0
Environmental Scanning,4855204.0,63.0
Oil Well Workover,0.0,0.0
Microsoft Certified Trainer,1023320.0,11.0
Drive Shaft,1094780.0,22.0
Memorial Services,2946673.5,51.0
Natural Language Generation,440650.0,3.0
Knowledge-Based Systems,5214143.5,52.0
Google Keyword Planner,3274040.0,38.0
Sudden Cardiac Death,172500.0,2.0
Dynamic Communication,1811670.5,23.0
Landfill,727579.5,14.0
Agilent VEE (Domain-Specific Programming Language),891900.0,13.0
Electrical Load,3207331.5,38.0
Database Cluster,1408480.0,12.0
Medical Microbiology,857115.0,15.0
FINRA Series 55 (Equity Trader),80000.0,1.0
Adobe Spark,952112.5,15.0
Lip Sync,0.0,0.0
Bloomberg Terminal,2649610.5,26.0
Community Sustainability,538433.5,8.0
Outbound Transactions,1378200.0,22.0
Attention Deficit Hyperactivity Disorder (ADHD),1278340.0,19.0
Social Media Intelligence,658396.0,6.0
Airbrush Makeup,1274000.0,13.0
WordPress Admin,285520.0,7.0
Google Apps Script,526772.5,8.0
Certification in Neurophysiologic Intraoperative Monitoring (CNIM),888984.5,14.0
Thermographic Camera,1688746.0,28.0
Adjustment Disorders,869399.0,10.0
Registered Professional Liability Underwriter,328000.0,3.0
Duratrans,0.0,0.0
Noise Control,4202924.0,36.0
BRFplus,3532419.0,29.0
Cardiovascular Disorders,832608.5,5.0
Allogenetics,878050.0,10.0
Logistics Engineering,3066944.0,31.0
Reservoir Engineering,165000.0,2.0
Primeng,1672402.0,12.0
Contractor Quality Control,2062471.0,22.0
Contact Center Software,981475.0,9.0
Intraperitoneal Injection,34000.0,1.0
Mortgage License,6891522.5,56.0
Concrete Vibrators,134160.0,3.0
Eloqua Certification,323769.0,4.0
Survey Sampling,2103932.0,20.0
SAP IS-U,725960.0,7.0
Political Strategy,464500.0,6.0
Luxion KeyShot,1542140.0,26.0
Transport Dispatch,112320.0,3.0
Commenting,246580.0,6.0
Franchise Sales,3248180.0,34.0
Aesthetic Medicine,9387877.5,107.0
Application Remediation,2047170.0,17.0
Behavioral Health Interventions,1960741.5,25.0
Harmonized Systems,653287.0,9.0
Emergency Medical Support,2575293.0,39.0
Energy Transport,0.0,0.0
High Assurance Internet Protocols Encryptor,1148700.0,11.0
Multisystemic Therapy,280520.0,5.0
CONTENTdm,223500.0,4.0
Express Checkout,531014.0,17.0
Land Surveyor In Training,1142600.0,13.0
Epic Mychart,637200.0,5.0
Certified Public Finance Officer,3850698.0,32.0
Oracle Virtual Directory,1817000.0,15.0
iKnowMed EHR,120390.0,2.0
AFNetworking,532480.0,4.0
Biogeochemistry,234498.0,4.0
Java Runtime Environment,392200.0,3.0
Certified Social Workers Credential,456840.0,9.0
Affirmative Action Compliance,674443.0,10.0
Audio Capture,883707.5,17.0
Home Staging,4211560.0,89.0
Mifare,0.0,0.0
Gosu (Programming Language),3033527.0,29.0
Venn Diagrams,0.0,0.0
QS9000 Standards,2563504.5,46.0
Resque,988720.0,7.0
Vitality Curve,655119.5,3.0
Physical Chemistry,2347299.5,37.0
FIS GetPaid (Accounts Receivable Software),3466620.0,46.0
IBM Software,2086376.5,16.0
Investigational New Drug Application,923016.0,7.0
Ranorex,6267101.0,52.0
WindowBlinds (Software),188240.0,7.0
Certified LabVIEW Architect,379800.0,3.0
Financial Aid Eligibility,2357763.5,53.0
Utilization Management Certification,401056.0,4.0
Changeset,1276830.0,9.0
Java API For XML Processing,1710380.0,14.0
Motivational Interviewing Certification,1177149.5,29.0
Drill Motors,936040.5,14.0
International Residential Codes,2835959.0,31.0
Filter Design,1278900.0,12.0
Unit Conversion,752852.0,18.0
Certified Information Technology Professional,240000.0,2.0
Microsoft Windows Server Certification,474840.0,4.0
Cognitive Robotics,53040.0,1.0
Qualitative Marketing Research,0.0,0.0
Salesforce Certified Pardot Consultant,0.0,0.0
Hair Removal,4174931.5,66.0
Radio Frequency Optimization,225350.0,2.0
Fuel Injection,4098911.0,89.0
Wiring Closet,112320.0,3.0
Comprehensive Income,843300.0,9.0
Engineering Change Notice,1177984.0,18.0
Job Enrichment,1104472.0,11.0
Operations And Management Platform,79900.0,1.0
